股票代码,股票简称,日期,EF周期数,MN1_state_hex,MN1_state_score,W1_state_hex,W1_state_score,D1_state_hex,D1_state_score,MN1_base,MN1_trend_bit,MN1_position_bit,MN1_volatility_bit,MN1_comp_label,MN1_trend_label,MN1_position_label,MN1_volatility_label,W1_base,W1_trend_bit,W1_position_bit,W1_volatility_bit,W1_comp_label,W1_trend_label,W1_position_label,W1_volatility_label,D1_base,D1_trend_bit,D1_position_bit,D1_volatility_bit,D1_comp_label,D1_trend_label,D1_position_label,D1_volatility_label
600563,法拉电子,2026-05-18,2,C,12,E,14,C,12,8,1,0,0,扩,牛,中,稳,8,1,1,0,扩,牛,上突,稳,8,1,0,0,扩,牛,中,稳
600584,长电科技,2026-05-20,2,C,12,E,14,E,14,8,1,0,0,扩,牛,中,稳,8,1,1,0,扩,牛,上突,稳,8,1,1,0,扩,牛,上突,稳
600584,长电科技,2026-05-19,2,C,12,E,14,E,14,8,1,0,0,扩,牛,中,稳,8,1,1,0,扩,牛,上突,稳,8,1,1,0,扩,牛,上突,稳
600584,长电科技,2026-05-18,2,C,12,E,14,E,14,8,1,0,0,扩,牛,中,稳,8,1,1,0,扩,牛,上突,稳,8,1,1,0,扩,牛,上突,稳
600667,太极实业,2026-05-20,2,C,12,F,15,E,14,8,1,0,0,扩,牛,中,稳,8,1,1,1,扩,牛,上突,波扩,8,1,1,0,扩,牛,上突,稳
600667,太极实业,2026-05-19,2,C,12,F,15,E,14,8,1,0,0,扩,牛,中,稳,8,1,1,1,扩,牛,上突,波扩,8,1,1,0,扩,牛,上突,稳
600667,太极实业,2026-05-18,2,C,12,F,15,E,14,8,1,0,0,扩,牛,中,稳,8,1,1,1,扩,牛,上突,波扩,8,1,1,0,扩,牛,上突,稳
600714,金瑞矿业,2026-05-20,2,D,13,F,15,E,14,8,1,0,1,扩,牛,中,波扩,8,1,1,1,扩,牛,上突,波扩,8,1,1,0,扩,牛,上突,稳
600714,金瑞矿业,2026-05-19,2,D,13,F,15,E,14,8,1,0,1,扩,牛,中,波扩,8,1,1,1,扩,牛,上突,波扩,8,1,1,0,扩,牛,上突,稳
600714,金瑞矿业,2026-05-18,2,D,13,F,15,E,14,8,1,0,1,扩,牛,中,波扩,8,1,1,1,扩,牛,上突,波扩,8,1,1,0,扩,牛,上突,稳
